subject,EX,A,B,C,D,P,F,subject_session
EP60006,12,23,24,9,5,2,0,Spring16
EP60006,20,32,23,5,1,1,0,Spring17
EP60006,14,32,19,7,4,3,0,Autumn18
EP60006,23,29,22,13,2,0,1,Spring19
EP60006,14,32,19,7,4,3,0,Spring18
EP60006,20,32,23,5,1,1,0,Autumn17
EP60008,37,39,24,14,3,0,0,Spring16
EP60008,26,65,41,19,4,2,0,Spring17
EP60008,11,26,31,8,5,0,0,Autumn18
EP60008,5,23,27,20,4,1,0,Spring19
EP60008,11,26,31,8,5,0,0,Spring18
EP60008,26,65,41,19,4,2,0,Autumn17
EP60010,9,18,13,19,7,4,0,Spring16
EP60010,10,16,25,21,16,12,0,Spring17
EP60010,2,4,13,15,21,24,0,Autumn18
EP60010,8,7,11,12,6,10,1,Spring19
EP60010,2,4,13,15,20,24,2,Spring18
EP60010,10,16,25,21,16,12,0,Autumn17
EP60018,4,10,13,19,10,7,0,Spring16
EP60018,8,21,25,14,5,3,0,Spring17
EP60018,5,13,22,12,7,2,0,Autumn18
EP60018,9,25,8,15,2,0,0,Spring19
EP60018,5,13,22,12,7,3,0,Spring18
EP60018,8,21,25,14,5,3,0,Autumn17
EP60022,6,17,10,4,0,0,1,Spring16
EP60022,12,20,13,11,6,1,0,Spring17
EP60022,31,59,14,6,2,0,1,Autumn18
EP60022,14,12,1,1,2,0,0,Spring18
EP60022,12,20,15,12,6,1,0,Autumn17
EP60042,30,59,25,7,3,0,0,Spring16
EP60042,54,39,14,5,1,0,0,Autumn18
EP60042,63,55,28,14,1,2,0,Spring19
HS20002,3,3,23,30,17,1,0,Autumn18
HS20002,1,9,12,19,5,0,0,Spring19
HS20002,8,21,43,36,20,1,0,Spring18
HS20016,7,26,29,25,11,5,0,Autumn18
HS20016,7,19,18,15,4,0,1,Spring19
HS20016,17,16,31,25,25,22,7,Spring18
HS30048,1,5,8,5,3,9,1,Autumn18
HS30048,10,9,6,9,6,9,4,Spring19
HS30050,3,25,22,22,9,2,0,Autumn18
HS30050,3,5,0,4,5,1,0,Spring19
HS30066,0,0,0,0,0,0,0,Spring19
HS30074,0,0,1,1,1,0,0,Spring19
HS30074,12,17,21,21,13,6,1,Autumn18
HS30074,22,43,32,39,16,8,1,Spring18
HS31076,3,1,4,1,0,1,1,Spring19
HS40072,0,0,0,1,0,0,0,Spring19
AI61002,2,8,29,29,38,27,1,Spring19
BM40002,9,7,16,13,14,16,2,Autumn18
BM40002,10,20,27,22,10,11,1,Spring19
BM40004,1,0,4,11,9,2,0,Autumn18
BM40004,1,6,6,10,12,8,1,Spring19
BT31006,0,0,1,6,10,12,5,Spring16
BT31006,2,5,17,5,3,3,2,Spring17
BT31006,0,6,8,8,9,10,1,Spring19
BT31006,4,8,7,10,14,3,1,Spring18
BT31006,2,5,17,5,3,3,2,Autumn17
CH61012,1,14,16,4,4,0,1,Spring16
CH61012,2,9,14,7,5,2,0,Spring17
CH61012,3,11,13,7,3,3,0,Autumn18
CH61012,2,9,12,15,1,2,0,Spring19
CH61012,3,11,13,7,3,3,0,Spring18
CH61012,2,9,14,7,5,2,0,Autumn17
CH61014,4,4,7,9,7,1,1,Spring16
CH61014,0,3,3,11,8,4,0,Spring17
CH61014,2,4,7,12,11,2,0,Autumn18
CH61014,4,3,7,9,6,7,3,Spring19
CH61014,2,4,7,12,11,2,0,Spring18
CH61014,0,3,3,11,8,4,0,Autumn17
