,Subject Names,Profile Names
0,MINING MACHINERY,Mechanical Engineering
1,MARINE CONSTRUCTION AND WELDING,Mechanical Engineering
2,GEOPHYSICAL INVERSE THEORY,Mechanical Engineering
3,IMAGE PROCESSING,Mechanical Engineering
4,BASIC DESIGN II  AND MODELING,Engineering Design Process
5,ELECTRICAL TECHNOLOGY,Mechanical Engineering
6,STRUCTURAL DYNAMICS & EARTHQUAKE ENGG.,Mechanical Engineering
7,INTERCULTURAL COMMUNICATION,Mechanical Engineering
8,PROBABILITY & STATISTICS,Mechanical Engineering
9,FIELD WORK (3 WEEKS),Mechanical Engineering
10,MATERIAL TESTING LAB,Physics and Engineering
11,ADVANCED GAS DYNAMICS,Mechanical Engineering
12,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,Engineering Design Process
13,DEVELOPMENT OF MINERAL DEPOSITS,Mechanical Engineering
14,MATERIAL CHARACTERIZATION,Mechanical Engineering
15,ECONOMICS OF MINING ENTERPRISES,Finance
16,POWER ELECTRONICS,Mechanical Engineering
17,SOCIOLOGY OF ECONOMICS DEVELOPMENT,Finance
18,MATERIALS PROCESSING LAB.,Physics and Engineering
19,MATERIALS ENGINEERING,Environmental Engineering
20,"ENGINEERING ECONOMY, COSTING AND ACCOUNTING",Environmental Engineering
21,ELECTRICAL TECHNOLOGY LAB.,Physics and Engineering
22,CONTROL AND ELECTRONIC SYSTEM DESIGN,Engineering Design Process
23,THEORY OF OPERATING SYSTEMS LAB.,Physics and Engineering
24,FLUID MECHANICS,Mechanical Engineering
25,DYNAMICS FOR AEROSPACE ENGINEERS,Mechanical Engineering
26,ENGLISH FOR COMMUNICATION,Mechanical Engineering
27,CONTEMPORARY DRAMA AND THEATRE,Mechanical Engineering
28,SIMULATION,Mechanical Engineering
29,NUCLEAR AND PARTICLE PHYSICS  I,Physics and Engineering
30,MARINE PRODUCTION AND PLANNING,Mechanical Engineering
31,INTRODUCTION TO CIVIL ENGG. & MATERIALS,Mechanical Engineering
32,HEAT TREATMENT OF MATERIALS LAB.,Physics and Engineering
33,EXTRA ACADEMIC ACTIVITY I,Mechanical Engineering
34,GLOBALISATION AND CULTURE,Mechanical Engineering
35,EXTRA ACADEMIC ACTIVITY III,Mechanical Engineering
36,OPERATING SYSTEMS LABORATORY,Engineering Design Process
37,FRENCH,Mechanical Engineering
38,NUCLEAR GEOPHYSICS,Mechanical Engineering
39,MEASURE THEORY AND INTEGRATION,Mechanical Engineering
40,PROJECT SEMINAR,Mechanical Engineering
41,HISTORY OF ARCHITECTURE I,Mechanical Engineering
42,VIBRATION OF FLOATING STRUCTURES,Mechanical Engineering
43,ARCHITECTURAL DESIGN II AND FIELD STUDY,Engineering Design Process
44,ADVANCED STRUCTURAL ANALYSIS,Mechanical Engineering
45,MARINE DESIGN,Engineering Design Process
46,SOCIO TECHNICAL INTERVENTIONS FOR AGEING SOCIETIES,Mechanical Engineering
47,PRINCIPLES OF ORGANOMETALLICS & BIOINORGNIC CHEMISTRY,Mechanical Engineering
48,SMART STRUCTURES,Mechanical Engineering
49,TRANSPORT PHENOMENA IN METALLURGICAL PROCESSES,Mechanical Engineering
50,AEROSPACE STRUCTURAL DYNAMICS,Mechanical Engineering
51,ANALYTICAL MECHANICS,Mechanical Engineering
52,ADVANCED BUILDING MATERIALS AND COMPOSITES,Mechanical Engineering
53,SOIL TECHNOLOGY LAB.,Physics and Engineering
54,FINANCIAL RISK MODELING,Mechanical Engineering
55,QUANTITATIVE DECISION MAKING,Mechanical Engineering
56,INTRODUCTION TO RELIABILITY ENGINEERING,Environmental Engineering
57,ELEMENTS OF PETROLEUM ENGINEERING,Environmental Engineering
58,MINE HAZARDS AND RESCUE,Mechanical Engineering
59,IRON MAKING & STEELMAKING,Mechanical Engineering
60,SIGNALS AND SYSTEMS,Mechanical Engineering
61,COMPREHENSIVE VIVA,Mechanical Engineering
62,PRINCIPLES OF EXTRACTIVE METALLURGY,Mechanical Engineering
63,BARRIER FREE ENVIRONMENT,Mechanical Engineering
64,INTRODUCTION TO LANGUAGE AND LINGUISTICS,Mechanical Engineering
65,PHYSICS LAB.,Physics and Engineering
66,CONSTRUCTION PLANNING AND MANAGEMENT,Mechanical Engineering
67,CLASSICAL MECHANICS I,Mechanical Engineering
68,METALLURGICAL FAILURE ANALYSIS,Mechanical Engineering
69,COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES LABORATORY,Engineering Design Process
70,PROJECT I,Mechanical Engineering
71,MINE SURVEYING LABORATORY,Engineering Design Process
72,GRAPH THEORY AND ALGORITHMS,Mechanical Engineering
73,ECONOMIC MODELLING,Mechanical Engineering
74,METALLURGICAL THERMODYNAMICS AND KINETICS LAB.,Physics and Engineering
75,FUNCTIONAL ANALYSIS,Mechanical Engineering
76,INORGANIC CHEMISTRY I,Mechanical Engineering
77,SEDIMENTOLOGY,Mechanical Engineering
78,VIVA,Mechanical Engineering
79,CONTROL SYSTEM ENGINEERING,Environmental Engineering
80,INTEGRAL EQUATIONS & VARIATIONAL METHODS,Mechanical Engineering
81,THERMO FLUIDS LAB II,Physics and Engineering
82,REAL ANALYSIS,Mechanical Engineering
83,ENVIRONMENTAL ECONOMICS,Finance
84,INTRODUCTION TO HELICOPTER ENGINEERING,Environmental Engineering
85,KINEMATICS  OF MACHINES,Mechanical Engineering
86,STRUCTURAL DETAILING,Mechanical Engineering
87,ANALOG ELECTRONIC CIRCUITS,Mechanical Engineering
88,DSP LABORATORY,Engineering Design Process
89,THEORY & DESIGN OF MACHINE ELEMENTS,Engineering Design Process
90,POWER ELECTRONICS LAB.,Physics and Engineering
91,COMPARATIVE DEVELOPMENT PERSPECTIVE,Mechanical Engineering
92,POST HARVEST ENGINEERING,Environmental Engineering
93,PHYSICAL CHEMISTRY II,Mechanical Engineering
94,THERMAL PHYSICS,Physics and Engineering
95,INTRODUCTION TO CULTURAL STUDIES,Mechanical Engineering
96,OPTICS,Mechanical Engineering
97,ORE GEOLOGY LAB.,Physics and Engineering
98,LINES PLAN AND HYDROSTATICS LABORATORY,Engineering Design Process
99,OPERATING SYSTEMS,Mechanical Engineering
100,ANALOG COMMUNICATIONS LAB.,Physics and Engineering
101,FINANCIAL INSTITUTIONS & MARKETS,Mechanical Engineering
102,AEROSPACE STRUCTURAL ANALYSIS,Mechanical Engineering
103,EXTRA ACADEMIC ACTIVITY II,Mechanical Engineering
104,ENGINEERING LABORATORY,Environmental Engineering
105,DESIGN OF RC STRUCTURE,Engineering Design Process
106,WORK SYSTEM DESIGN LAB.,Physics and Engineering
107,ESTIMATION AND COSTING,Mechanical Engineering
108,OPTIMISATION AND HEURISTIC METHODS PROJECT,Mechanical Engineering
109,WATER SUPPLY AND SANITATION,Mechanical Engineering
110,MACHINES TOOLS AND MACHINING LAB.,Physics and Engineering
111,COMPUTER APPLICATION IN AERO. ENGINEERING,Environmental Engineering
112,SIGNALS & NETWORKS,Mechanical Engineering
113,LOGISTICS AND SUPPLY CHAIN MANAGEMENT,Mechanical Engineering
114,CONDENSED MATTER PHYSICS I,Physics and Engineering
115,FLUID FLOW LABORATORY AND DESIGN,Engineering Design Process
116,FOUNDATION ENGINEERING,Environmental Engineering
117,PROCESS EQUIPMENT DESIGN II,Engineering Design Process
118,COMPUTER ARCHITECTURE AND OPERATING SYSTEM,Mechanical Engineering
119,CASTING & SOLIDIFICATION,Mechanical Engineering
120,ADVANCED INORGANIC CHEMISTRY LABORATORY,Engineering Design Process
121,SOCIOLOGY OF ARCHITECTURE,Mechanical Engineering
122,ANALOG  CIRCUITS LAB.,Physics and Engineering
123,OBJECT ORIENTED SYSTEMS DESIGN LABORATORY,Engineering Design Process
124,ENGINEERING GEOLOGY LABORATORY,Environmental Engineering
125,COMPREHENSIVE VIVA VOCE,Mechanical Engineering
126,PROJECT II,Mechanical Engineering
127,PRODUCT DEVELOPMENT PROJECT,Mechanical Engineering
128,IGNEOUS PETROLOGY,Mechanical Engineering
129,PROBABILITY AND STATISTICS,Mechanical Engineering
130,MICROCONTROLLER SYSTEMS LABORATORY,Engineering Design Process
131,GENERAL PROPERTIES & THERMAL PHYSICS LAB,Physics and Engineering
132,DIY PROJECT,Mechanical Engineering
133,INTRODUCTION TO EARTH SCIENCE LAB.,Physics and Engineering
134,PRINCIPLES OF PROGRAMMING LANGUAGES,Mechanical Engineering
135,STRATEGIES & METHODS IN ORGANIC SYNTHESIS,Mechanical Engineering
136,SAFETY ENGINEERING,Environmental Engineering
137,FINITE ELEMENT METHODS,Mechanical Engineering
138,HYDRAULICS,Mechanical Engineering
139,SOIL MECHANICS,Mechanical Engineering
140,HIGH SPEED AERODYNAMICS,Mechanical Engineering
141,PHYSICS II,Physics and Engineering
142,BUILDING CONSTRUCTION   I,Mechanical Engineering
143,ECONOMICS OF HEALTH,Finance
144,GERMAN,Mechanical Engineering
145,MECHANICS OF SOLIDS,Mechanical Engineering
146,INTRODUCTION TO ELECTRONICS LAB.,Physics and Engineering
147,INTRODUCTION TO TURBULENCE,Mechanical Engineering
148,MONETARY ECONOMICS,Finance
149,SOIL TECHNOLOGY,Mechanical Engineering
150,PROJECT   PART 2,Mechanical Engineering
