course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
HS20002-GENERAL PSYCHOLOGY,2,24,14,5,0,0,0,4.44,53.33,31.11,11.11,0,0,0,Autumn20,8.51
HS20002-GENERAL PSYCHOLOGY,0,6,8,18,2,0,1,0,17.14,22.86,51.43,5.71,0,2.86,Spring19,7.43
HS20002-GENERAL PSYCHOLOGY,1,8,5,4,0,0,0,5.56,44.44,27.78,22.22,0,0,0,Spring21,8.33
HS20002-GENERAL PSYCHOLOGY,3,1,9,17,5,1,0,8.33,2.78,25,47.22,13.89,2.78,0,Autumn18,7.36
HS20002-GENERAL PSYCHOLOGY,1,4,26,19,5,0,0,1.82,7.27,47.27,34.55,9.09,0,0,Autumn19,7.58
HS20002-GENERAL PSYCHOLOGY,3,3,14,8,2,0,0,10,10,46.67,26.67,6.67,0,0,Spring20,7.9
HS20016-ENVIRONMENTAL HUMANITIES,4,10,15,3,2,1,0,11.43,28.57,42.86,8.57,5.71,2.86,0,Autumn19,8.23
HS20016-ENVIRONMENTAL HUMANITIES,4,8,7,8,1,1,0,13.79,27.59,24.14,27.59,3.45,3.45,0,Spring19,8.1
HS20016-ENVIRONMENTAL HUMANITIES,21,22,10,0,0,0,0,39.62,41.51,18.87,0,0,0,0,Autumn20,9.21
HS20016-ENVIRONMENTAL HUMANITIES,1,7,6,2,1,1,0,5.56,38.89,33.33,11.11,5.56,5.56,0,Autumn18,8.11
HS20016-ENVIRONMENTAL HUMANITIES,15,24,12,1,0,0,0,28.85,46.15,23.08,1.92,0,0,0,Spring21,9.02
HS20016-ENVIRONMENTAL HUMANITIES,13,11,5,5,7,5,0,28.26,23.91,10.87,10.87,15.22,10.87,0,Spring20,8.07
HS30048-GERMAN,2,0,4,7,2,5,0,10,0,20,35,10,25,0,Spring19,6.9
HS30048-GERMAN,18,16,9,6,2,1,0,34.62,30.77,17.31,11.54,3.85,1.92,0,Spring20,8.75
HS30048-GERMAN,42,31,5,4,1,0,0,50.6,37.35,6.02,4.82,1.2,0,0,Spring21,9.31
HS30050-SOCIO-TECHNICAL INTERVENTIONS FOR AGEING SOCIETIES,2,1,0,2,1,0,0,33.33,16.67,0,33.33,16.67,0,0,Spring19,8.17
HS30050-SOCIO-TECHNICAL INTERVENTIONS FOR AGEING SOCIETIES,0,2,3,2,2,0,0,0,22.22,33.33,22.22,22.22,0,0,Autumn18,7.56
HS30050-SOCIO-TECHNICAL INTERVENTIONS FOR AGEING SOCIETIES,0,6,0,2,0,2,0,0,60,0,20,0,20,0,Spring21,7.8
HS30057-SOCIOLOGY OF ECONOMICS DEVELOPMENT,4,4,4,1,0,0,0,30.77,30.77,30.77,7.69,0,0,0,Autumn20,8.85
HS30057-SOCIOLOGY OF ECONOMICS DEVELOPMENT,1,4,0,1,2,0,0,12.5,50,0,12.5,25,0,0,Spring19,8.13
HS30057-SOCIOLOGY OF ECONOMICS DEVELOPMENT,0,0,2,0,0,0,0,0,0,100,0,0,0,0,Autumn19,8
HS30057-SOCIOLOGY OF ECONOMICS DEVELOPMENT,7,4,3,0,2,0,0,43.75,25,18.75,0,12.5,0,0,Spring20,8.88
HS30066-VISUAL COMMUNICATION,2,6,6,7,2,1,0,8.33,25,25,29.17,8.33,4.17,0,Spring21,7.83
HS30066-VISUAL COMMUNICATION,0,0,0,2,0,0,0,0,0,0,100,0,0,0,Spring19,7
HS30066-VISUAL COMMUNICATION,0,0,0,1,1,0,0,0,0,0,50,50,0,0,Autumn18,6.5
HS30066-VISUAL COMMUNICATION,5,9,4,4,1,0,0,21.74,39.13,17.39,17.39,4.35,0,0,Autumn19,8.57
HS30066-VISUAL COMMUNICATION,3,12,19,20,0,0,0,5.56,22.22,35.19,37.04,0,0,0,Autumn20,7.96
HS30074-SCIENCE AND HUMANISM,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
HS30074-SCIENCE AND HUMANISM,10,17,4,1,2,2,0,27.78,47.22,11.11,2.78,5.56,5.56,0,Autumn20,8.72
HS30074-SCIENCE AND HUMANISM,1,8,10,9,7,3,0,2.63,21.05,26.32,23.68,18.42,7.89,0,Autumn18,7.42
HS30074-SCIENCE AND HUMANISM,19,28,3,1,0,0,0,37.25,54.9,5.88,1.96,0,0,0,Spring21,9.27
HS30074-SCIENCE AND HUMANISM,11,12,15,13,2,1,0,20.37,22.22,27.78,24.07,3.7,1.85,0,Autumn19,8.26
HS30074-SCIENCE AND HUMANISM,9,16,9,10,9,1,0,16.67,29.63,16.67,18.52,16.67,1.85,0,Spring20,8.06
HS31076-INTRODUCTION TO LANGUAGE AND LINGUISTICS,2,1,3,1,0,0,0,28.57,14.29,42.86,14.29,0,0,0,Spring19,8.57
HS31076-INTRODUCTION TO LANGUAGE AND LINGUISTICS,3,22,10,6,0,0,1,7.14,52.38,23.81,14.29,0,0,2.38,Autumn20,8.43
HS31076-INTRODUCTION TO LANGUAGE AND LINGUISTICS,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn19,7
HS31076-INTRODUCTION TO LANGUAGE AND LINGUISTICS,5,3,4,1,0,0,0,38.46,23.08,30.77,7.69,0,0,0,Spring21,8.92
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,51,101,44,6,1,0,1,25,49.51,21.57,2.94,0.49,0,0.49,Autumn20,8.94
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,3,4,8,3,0,0,0,16.67,22.22,44.44,16.67,0,0,0,Spring21,8.39
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,3,11,11,9,5,2,0,7.32,26.83,26.83,21.95,12.2,4.88,0,Spring20,7.8
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,41,58,77,16,0,0,0,21.35,30.21,40.1,8.33,0,0,0,Spring21,8.65
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,1,1,2,0,1,2,0,14.29,14.29,28.57,0,14.29,28.57,0,Spring19,7.29
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,1,1,1,1,3,0,0,14.29,14.29,14.29,14.29,42.86,0,0,Autumn20,7.43
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,2,16,19,17,9,0,0,3.17,25.4,30.16,26.98,14.29,0,0,Spring21,7.76
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,0,2,6,4,7,3,0,0,9.09,27.27,18.18,31.82,13.64,0,Spring20,6.86
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn19,9
BT31006-BIOINFORMATICS,0,6,11,9,5,4,0,0,17.14,31.43,25.71,14.29,11.43,0,Spring20,7.29
BT31006-BIOINFORMATICS,2,18,14,3,1,0,0,5.26,47.37,36.84,7.89,2.63,0,0,Spring21,8.45
CY41018-STRUCTURES & FUNCTION OF BIOMOLECULES,0,3,6,6,3,0,0,0,16.67,33.33,33.33,16.67,0,0,Spring21,7.5
EG30002-ENERGY CONVERSION PROCESSES,1,2,2,3,1,1,0,10,20,20,30,10,10,0,Spring20,7.6
EG30002-ENERGY CONVERSION PROCESSES,4,13,16,9,3,1,0,8.7,28.26,34.78,19.57,6.52,2.17,0,Spring21,8.07
EG30002-ENERGY CONVERSION PROCESSES,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring19,7
MA51108-ADVANCED COMPLEX ANALYSIS,0,0,0,2,0,0,0,0,0,0,100,0,0,0,Spring21,7
