course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
19IST02-Aeroelasticity and Unsteady Aerodynamics in Turbomachinery,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn19,9
AE21001-INTRODUCTION TO AERODYNAMICS,4,3,5,7,11,14,0,9.09,6.82,11.36,15.91,25,31.82,0,Autumn18,6.64
AE21001-INTRODUCTION TO AERODYNAMICS,2,8,23,6,12,0,0,3.92,15.69,45.1,11.76,23.53,0,0,Autumn19,7.65
AE21001-INTRODUCTION TO AERODYNAMICS,7,10,32,6,0,0,1,12.5,17.86,57.14,10.71,0,0,1.79,Autumn20,8.25
AE21002-LOW SPEED AERODYNAMICS,4,4,8,13,6,7,0,9.52,9.52,19.05,30.95,14.29,16.67,0,Spring19,7.19
AE21002-LOW SPEED AERODYNAMICS,3,7,17,11,10,1,0,6.12,14.29,34.69,22.45,20.41,2.04,0,Spring20,7.57
AE21002-LOW SPEED AERODYNAMICS,5,12,26,9,2,0,0,9.26,22.22,48.15,16.67,3.7,0,0,Spring21,8.17
AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,1,6,6,7,12,10,0,2.38,14.29,14.29,16.67,28.57,23.81,0,Autumn18,6.74
AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,1,3,6,20,9,10,0,2.04,6.12,12.24,40.82,18.37,20.41,0,Autumn19,6.71
AE21003-DYNAMICS FOR AEROSPACE ENGINEERS,0,4,15,19,14,2,1,0,7.27,27.27,34.55,25.45,3.64,1.82,Autumn20,7.04
AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,4,10,10,11,6,1,0,9.52,23.81,23.81,26.19,14.29,2.38,0,Spring19,7.81
AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,14,10,8,7,6,4,0,28.57,20.41,16.33,14.29,12.24,8.16,0,Spring20,8.14
AE21004-INTRODUCTION TO AEROSPACE STRUCTURES,6,15,23,7,2,1,1,10.91,27.27,41.82,12.73,3.64,1.82,1.82,Spring21,8.16
AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,5,7,14,2,4,9,1,11.9,16.67,33.33,4.76,9.52,21.43,2.38,Spring19,7.43
AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,10,12,10,8,6,2,0,20.83,25,20.83,16.67,12.5,4.17,0,Spring20,8.13
AE21008-INTRODUCTION TO FLIGHT VEHICLE CONTROLS,14,21,10,5,2,2,1,25.45,38.18,18.18,9.09,3.64,3.64,1.82,Spring21,8.55
AE29002-AERODYNAMICS LAB-I,9,18,13,1,1,0,0,21.43,42.86,30.95,2.38,2.38,0,0,Spring19,8.79
AE29002-AERODYNAMICS LAB-I,15,26,6,2,0,1,0,30,52,12,4,0,2,0,Spring20,9.02
AE29002-AERODYNAMICS LAB-I,24,14,14,2,0,0,0,44.44,25.93,25.93,3.7,0,0,0,Spring21,9.11
AE29004-STRUCTURES LAB -I,8,12,14,5,2,1,0,19.05,28.57,33.33,11.9,4.76,2.38,0,Spring19,8.38
AE29004-STRUCTURES LAB -I,32,12,1,4,0,0,0,65.31,24.49,2.04,8.16,0,0,0,Spring20,9.47
AE29004-STRUCTURES LAB -I,5,16,23,7,1,2,1,9.09,29.09,41.82,12.73,1.82,3.64,1.82,Spring21,8.13
AE31001-THERMODYNAMICS & AEROSPACE PROP.SYSTEM,6,5,6,19,4,2,0,14.29,11.9,14.29,45.24,9.52,4.76,0,Autumn19,7.62
AE31001-THERMODYNAMICS & AEROSPACE PROP.SYSTEM,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn18,7
AE31001-THERMODYNAMICS & AEROSPACE PROP.SYSTEM,9,27,7,2,0,0,2,19.15,57.45,14.89,4.26,0,0,4.26,Autumn20,8.74
AE31002-AEROSPACE STRUCTURAL DYNAMICS,12,5,11,9,0,4,1,28.57,11.9,26.19,21.43,0,9.52,2.38,Spring20,8.1
