,Course Code,Course Names,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
0,19IST02,Aeroelasticity and Unsteady Aerodynamics in Turbomachinery,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn19,9
1,AE21001,INTRODUCTION TO AERODYNAMICS,4,3,5,7,11,14,0,9.09,6.82,11.36,15.91,25,31.82,0,Autumn18,6.64
2,AE21001,INTRODUCTION TO AERODYNAMICS,2,8,23,6,12,0,0,3.92,15.69,45.1,11.76,23.53,0,0,Autumn19,7.65
3,AE21001,INTRODUCTION TO AERODYNAMICS,7,10,32,6,0,0,1,12.5,17.86,57.14,10.71,0,0,1.79,Autumn20,8.25
4,AE21002,LOW SPEED AERODYNAMICS,4,4,8,13,6,7,0,9.52,9.52,19.05,30.95,14.29,16.67,0,Spring19,7.19
5,AE21002,LOW SPEED AERODYNAMICS,3,7,17,11,10,1,0,6.12,14.29,34.69,22.45,20.41,2.04,0,Spring20,7.57
6,AE21002,LOW SPEED AERODYNAMICS,5,12,26,9,2,0,0,9.26,22.22,48.15,16.67,3.7,0,0,Spring21,8.17
7,AE21003,DYNAMICS FOR AEROSPACE ENGINEERS,1,6,6,7,12,10,0,2.38,14.29,14.29,16.67,28.57,23.81,0,Autumn18,6.74
8,AE21003,DYNAMICS FOR AEROSPACE ENGINEERS,1,3,6,20,9,10,0,2.04,6.12,12.24,40.82,18.37,20.41,0,Autumn19,6.71
9,AE21003,DYNAMICS FOR AEROSPACE ENGINEERS,0,4,15,19,14,2,1,0,7.27,27.27,34.55,25.45,3.64,1.82,Autumn20,7.04
10,AE21004,INTRODUCTION TO AEROSPACE STRUCTURES,4,10,10,11,6,1,0,9.52,23.81,23.81,26.19,14.29,2.38,0,Spring19,7.81
11,AE21004,INTRODUCTION TO AEROSPACE STRUCTURES,14,10,8,7,6,4,0,28.57,20.41,16.33,14.29,12.24,8.16,0,Spring20,8.14
12,AE21004,INTRODUCTION TO AEROSPACE STRUCTURES,6,15,23,7,2,1,1,10.91,27.27,41.82,12.73,3.64,1.82,1.82,Spring21,8.16
13,AE21008,INTRODUCTION TO FLIGHT VEHICLE CONTROLS,5,7,14,2,4,9,1,11.9,16.67,33.33,4.76,9.52,21.43,2.38,Spring19,7.43
14,AE21008,INTRODUCTION TO FLIGHT VEHICLE CONTROLS,10,12,10,8,6,2,0,20.83,25,20.83,16.67,12.5,4.17,0,Spring20,8.13
15,AE21008,INTRODUCTION TO FLIGHT VEHICLE CONTROLS,14,21,10,5,2,2,1,25.45,38.18,18.18,9.09,3.64,3.64,1.82,Spring21,8.55
16,AE29002,AERODYNAMICS LAB I,9,18,13,1,1,0,0,21.43,42.86,30.95,2.38,2.38,0,0,Spring19,8.79
17,AE29002,AERODYNAMICS LAB I,15,26,6,2,0,1,0,30,52,12,4,0,2,0,Spring20,9.02
18,AE29002,AERODYNAMICS LAB I,24,14,14,2,0,0,0,44.44,25.93,25.93,3.7,0,0,0,Spring21,9.11
19,AE29004,STRUCTURES LAB  I,8,12,14,5,2,1,0,19.05,28.57,33.33,11.9,4.76,2.38,0,Spring19,8.38
20,AE29004,STRUCTURES LAB  I,32,12,1,4,0,0,0,65.31,24.49,2.04,8.16,0,0,0,Spring20,9.47
21,AE29004,STRUCTURES LAB  I,5,16,23,7,1,2,1,9.09,29.09,41.82,12.73,1.82,3.64,1.82,Spring21,8.13
22,AE31001,THERMODYNAMICS & AEROSPACE PROP.SYSTEM,6,5,6,19,4,2,0,14.29,11.9,14.29,45.24,9.52,4.76,0,Autumn19,7.62
23,AE31001,THERMODYNAMICS & AEROSPACE PROP.SYSTEM,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn18,7
24,AE31001,THERMODYNAMICS & AEROSPACE PROP.SYSTEM,9,27,7,2,0,0,2,19.15,57.45,14.89,4.26,0,0,4.26,Autumn20,8.74
25,AE31002,AEROSPACE STRUCTURAL DYNAMICS,12,5,11,9,0,4,1,28.57,11.9,26.19,21.43,0,9.52,2.38,Spring20,8.1
26,AE31002,AEROSPACE STRUCTURAL DYNAMICS,8,18,13,1,3,2,0,17.78,40,28.89,2.22,6.67,4.44,0,Spring21,8.47
27,AE31004,AIRCRAFT STABILITY AND CONTROL,0,5,4,7,4,16,3,0,12.82,10.26,17.95,10.26,41.03,7.69,Spring20,6.21
28,AE31004,AIRCRAFT STABILITY AND CONTROL,4,9,22,4,3,1,0,9.3,20.93,51.16,9.3,6.98,2.33,0,Spring21,8.09
29,AE31006,COMPUTER APPLICATION IN AERO. ENGINEERING,8,11,11,7,0,2,2,19.51,26.83,26.83,17.07,0,4.88,4.88,Spring20,8.15
30,AE31006,COMPUTER APPLICATION IN AERO. ENGINEERING,4,12,13,6,5,1,3,9.09,27.27,29.55,13.64,11.36,2.27,6.82,Spring21,7.75
31,AE31007,MECHANICS OF FLIGHT,0,3,3,2,23,11,0,0,7.14,7.14,4.76,54.76,26.19,0,Autumn19,6.14
32,AE31007,MECHANICS OF FLIGHT,0,1,4,9,21,8,2,0,2.22,8.89,20,46.67,17.78,4.44,Autumn20,6.18
33,AE31008,THEORY OF JET PROPULSION,5,5,9,9,8,6,0,11.9,11.9,21.43,21.43,19.05,14.29,0,Spring20,7.33
34,AE31008,THEORY OF JET PROPULSION,5,19,11,4,2,2,1,11.36,43.18,25,9.09,4.55,4.55,2.27,Spring21,8.25
35,AE31009,AEROSPACE STRUCTURAL ANALYSIS,4,5,9,11,4,5,4,9.52,11.9,21.43,26.19,9.52,11.9,9.52,Autumn19,7.12
36,AE31009,AEROSPACE STRUCTURAL ANALYSIS,16,16,7,4,1,0,1,35.56,35.56,15.56,8.89,2.22,0,2.22,Autumn20,8.84
37,AE31010,VISCOUS FLOW THEORY,4,10,12,9,4,3,0,9.52,23.81,28.57,21.43,9.52,7.14,0,Spring20,7.81
38,AE31010,VISCOUS FLOW THEORY,5,10,16,9,4,4,0,10.42,20.83,33.33,18.75,8.33,8.33,0,Spring21,7.81
39,AE31103,HIGH SPEED AERODYNAMICS,6,6,19,4,1,5,1,14.29,14.29,45.24,9.52,2.38,11.9,2.38,Autumn19,7.83
40,AE31103,HIGH SPEED AERODYNAMICS,2,5,20,13,2,3,0,4.44,11.11,44.44,28.89,4.44,6.67,0,Autumn20,7.62
41,AE39001,AERODYNAMICS LAB II,10,6,15,0,9,0,2,23.81,14.29,35.71,0,21.43,0,4.76,Autumn19,8
42,AE39001,AERODYNAMICS LAB II,15,20,7,0,0,0,3,33.33,44.44,15.56,0,0,0,6.67,Autumn20,8.84
43,AE39002,SYSTEM LABORATORY,17,17,3,2,0,0,2,41.46,41.46,7.32,4.88,0,0,4.88,Spring20,9
44,AE39002,SYSTEM LABORATORY,7,18,14,2,0,0,4,15.56,40,31.11,4.44,0,0,8.89,Spring21,8.31
45,AE39003,STRUCTURES LAB  II,6,8,15,9,2,1,1,14.29,19.05,35.71,21.43,4.76,2.38,2.38,Autumn19,8
46,AE39003,STRUCTURES LAB  II,5,24,9,2,5,1,0,10.87,52.17,19.57,4.35,10.87,2.17,0,Autumn20,8.41
47,AE39004,PROPULSION LABORATORY,4,14,11,3,3,3,0,10.53,36.84,28.95,7.89,7.89,7.89,0,Spring20,8.11
48,AE39004,PROPULSION LABORATORY,5,31,4,1,0,1,0,11.9,73.81,9.52,2.38,0,2.38,0,Spring21,8.88
49,AE40005,SPACE DYNAMICS,3,0,1,1,2,0,1,37.5,0,12.5,12.5,25,0,12.5,Autumn20,7.63
50,AE40006,COMPOSITE STRUCTURES,1,0,0,0,1,1,0,33.33,0,0,0,33.33,33.33,0,Spring21,7
51,AE40006,COMPOSITE STRUCTURES,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
52,AE40007,INTRODUCTION TO HELICOPTER ENGINEERING,1,4,4,4,0,0,2,6.67,26.67,26.67,26.67,0,0,13.33,Autumn20,7.6
53,AE40008,AEROELASTICITY,10,10,1,2,1,0,0,41.67,41.67,4.17,8.33,4.17,0,0,Spring21,9.08
54,AE40010,INTRODUCTION TO AVIONICS,2,0,2,0,0,0,0,50,0,50,0,0,0,0,Spring21,9
55,AE40018,INTRODUCTION TO TURBULENCE,1,1,3,1,0,0,0,16.67,16.67,50,16.67,0,0,0,Autumn19,8.33
56,AE40018,INTRODUCTION TO TURBULENCE,0,1,1,1,2,1,0,0,16.67,16.67,16.67,33.33,16.67,0,Autumn20,6.83
57,AE40019,AUTOMATIC CONTROL OF AIRCRAFT,5,1,0,2,0,1,3,41.67,8.33,0,16.67,0,8.33,25,Autumn20,7.5
58,AE40030,ADVANCED GAS TURBINE THEORY,0,3,1,0,0,0,0,0,75,25,0,0,0,0,Autumn20,8.75
59,AE40031,COMPUTATIONAL FLUID DYNAMICS,1,4,2,3,6,6,0,4.55,18.18,9.09,13.64,27.27,27.27,0,Autumn20,6.77
60,AE40033,FINITE ELEMENT METHODS,2,2,1,2,0,1,0,25,25,12.5,25,0,12.5,0,Autumn20,8.13
61,AE40033,FINITE ELEMENT METHODS,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
62,AE40034,ADVANCED COMPUTATIONAL FLUID DYNAMICS,0,2,0,1,0,0,0,0,66.67,0,33.33,0,0,0,Spring21,8.33
63,AE40037,PHYSICS OF FLUID FLOW EXPERIMENTS,4,3,0,0,0,0,0,57.14,42.86,0,0,0,0,0,Autumn20,9.57
64,AE47007,PROJECT I,8,8,9,2,0,0,2,27.59,27.59,31.03,6.9,0,0,6.9,Autumn20,8.48
65,AE48003,SUMMER TRAINING,4,5,2,0,0,0,1,33.33,41.67,16.67,0,0,0,8.33,Autumn20,8.75
66,AE49003,AIRCRAFT DESIGN & OPTIMISATION,12,15,4,2,3,1,2,30.77,38.46,10.26,5.13,7.69,2.56,5.13,Autumn20,8.51
67,AE51003,APPLIED ELASTICITY & PLASTICITY,6,8,2,1,0,1,0,33.33,44.44,11.11,5.56,0,5.56,0,Autumn20,8.89
68,AE51005,UNSTEADY AERODYNAMICS,3,1,1,1,0,0,0,50,16.67,16.67,16.67,0,0,0,Autumn20,9
69,AE51007,COMBUSTION PROCESSES IN JET ENGINES,3,3,4,1,0,0,0,27.27,27.27,36.36,9.09,0,0,0,Spring21,8.73
70,AE51010,EXPERIMENTAL STRESS ANALYSIS,2,3,3,1,0,0,0,22.22,33.33,33.33,11.11,0,0,0,Autumn20,8.67
71,AE51017,ADVANCED GAS DYNAMICS,1,2,0,0,1,0,0,25,50,0,0,25,0,0,Autumn20,8.5
72,AE51018,INDUSTRIAL AERODYNAMICS,7,4,1,0,0,0,0,58.33,33.33,8.33,0,0,0,0,Spring21,9.5
73,AE51019,SMART STRUCTURES,1,1,4,0,0,1,0,14.29,14.29,57.14,0,0,14.29,0,Spring21,8
74,AE51019,SMART STRUCTURES,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
75,AE51026,HYPERSONIC AERODYNAMICS,1,4,2,0,2,0,0,11.11,44.44,22.22,0,22.22,0,0,Spring21,8.22
76,AE60006,,3,2,1,0,0,1,0,42.86,28.57,14.29,0,0,14.29,0,Spring21,8.71
77,AE60006,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
78,AE60030,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
79,AE60037,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
80,AE61002,,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring21,5
81,AE61007,,3,5,1,2,0,0,0,27.27,45.45,9.09,18.18,0,0,0,Autumn20,8.82
82,AE61032,,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn20,5
83,AG20101,CROP PRODUCTION TECHNOLOGY,7,15,10,5,9,9,1,12.5,26.79,17.86,8.93,16.07,16.07,1.79,Autumn18,7.55
84,AG20101,CROP PRODUCTION TECHNOLOGY,4,6,14,18,9,7,0,6.9,10.34,24.14,31.03,15.52,12.07,0,Autumn19,7.26
85,AG20101,CROP PRODUCTION TECHNOLOGY,8,24,14,8,0,0,0,14.81,44.44,25.93,14.81,0,0,0,Autumn20,8.59
86,AG20103,SOIL TECHNOLOGY,3,7,19,11,7,9,0,5.36,12.5,33.93,19.64,12.5,16.07,0,Autumn18,7.3
87,AG20103,SOIL TECHNOLOGY,9,18,16,9,2,1,0,16.36,32.73,29.09,16.36,3.64,1.82,0,Autumn20,8.36
88,AG20103,SOIL TECHNOLOGY,3,7,14,16,13,5,0,5.17,12.07,24.14,27.59,22.41,8.62,0,Autumn19,7.24
89,AG29001,CROP PRODUCTION TECHNOLOGY LAB.,15,24,13,3,1,0,0,26.79,42.86,23.21,5.36,1.79,0,0,Autumn18,8.88
90,AG29001,CROP PRODUCTION TECHNOLOGY LAB.,14,20,10,5,2,1,1,26.42,37.74,18.87,9.43,3.77,1.89,1.89,Autumn19,8.6
91,AG29001,CROP PRODUCTION TECHNOLOGY LAB.,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
92,AG29003,SOIL TECHNOLOGY LAB.,8,40,8,0,0,0,0,14.29,71.43,14.29,0,0,0,0,Autumn18,9
93,AG29003,SOIL TECHNOLOGY LAB.,14,18,17,3,0,3,1,25,32.14,30.36,5.36,0,5.36,1.79,Autumn19,8.54
94,AG29003,SOIL TECHNOLOGY LAB.,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
95,AG29004,AGRICULTURAL BIOTECHNOLOGY LAB.,0,8,28,17,3,0,0,0,14.29,50,30.36,5.36,0,0,Spring19,7.73
96,AG29004,AGRICULTURAL BIOTECHNOLOGY LAB.,8,30,20,1,0,0,0,13.56,50.85,33.9,1.69,0,0,0,Spring20,8.76
97,AG29004,AGRICULTURAL BIOTECHNOLOGY LAB.,19,28,6,0,1,0,0,35.19,51.85,11.11,0,1.85,0,0,Spring21,9.19
98,AG31001,AGRICULTURAL MACHINERY,5,19,17,11,2,0,0,9.26,35.19,31.48,20.37,3.7,0,0,Autumn19,8.26
99,AG31001,AGRICULTURAL MACHINERY,6,19,11,10,2,2,0,12,38,22,20,4,4,0,Autumn20,8.22
100,AG31002,TRACTOR & POWER SYSTEMS,7,15,24,6,1,3,0,12.5,26.79,42.86,10.71,1.79,5.36,0,Spring20,8.21
101,AG31002,TRACTOR & POWER SYSTEMS,2,28,17,4,3,1,0,3.64,50.91,30.91,7.27,5.45,1.82,0,Spring21,8.35
102,AG31003,LAND & WATER RESOURCES ENGINEERING,4,14,10,13,8,6,1,7.14,25,17.86,23.21,14.29,10.71,1.79,Autumn19,7.48
103,AG31003,LAND & WATER RESOURCES ENGINEERING,2,24,19,6,1,0,1,3.77,45.28,35.85,11.32,1.89,0,1.89,Autumn20,8.3
104,AG31004,IRRIGATION & DRAINAGE ENGINEERING,4,15,10,12,12,3,0,7.14,26.79,17.86,21.43,21.43,5.36,0,Spring20,7.61
105,AG31004,IRRIGATION & DRAINAGE ENGINEERING,2,33,14,5,1,0,1,3.57,58.93,25,8.93,1.79,0,1.79,Spring21,8.46
106,AG31005,PRINCIPLES OF FOOD ENGINEERING,4,6,5,10,10,20,1,7.14,10.71,8.93,17.86,17.86,35.71,1.79,Autumn19,6.57
107,AG31005,PRINCIPLES OF FOOD ENGINEERING,6,40,1,2,0,1,1,11.76,78.43,1.96,3.92,0,1.96,1.96,Autumn20,8.84
108,AG31006,FOOD SCIENCE & TECHNOLOGY,2,5,18,18,11,2,0,3.57,8.93,32.14,32.14,19.64,3.57,0,Spring20,7.34
109,AG31006,FOOD SCIENCE & TECHNOLOGY,9,33,7,3,1,2,1,16.07,58.93,12.5,5.36,1.79,3.57,1.79,Spring21,8.64
110,AG31007,THEORY & DESIGN OF MACHINE ELEMENTS,2,14,13,16,8,1,0,3.7,25.93,24.07,29.63,14.81,1.85,0,Autumn19,7.69
111,AG31007,THEORY & DESIGN OF MACHINE ELEMENTS,5,18,19,7,1,2,0,9.62,34.62,36.54,13.46,1.92,3.85,0,Autumn20,8.25
112,AG31008,POST HARVEST ENGINEERING,2,14,8,17,11,4,0,3.57,25,14.29,30.36,19.64,7.14,0,Spring20,7.41
113,AG31008,POST HARVEST ENGINEERING,0,15,25,8,4,3,0,0,27.27,45.45,14.55,7.27,5.45,0,Spring21,7.82
114,AG31026,ORGANIC FOOD CHAIN MANAGEMENT,3,6,8,5,2,3,0,11.11,22.22,29.63,18.52,7.41,11.11,0,Spring20,7.78
115,AG31026,ORGANIC FOOD CHAIN MANAGEMENT,0,13,3,1,0,0,1,0,72.22,16.67,5.56,0,0,5.56,Spring21,8.44
116,AG39001,AGRICULTURAL MACHINERY LAB.,8,24,17,3,1,0,0,15.09,45.28,32.08,5.66,1.89,0,0,Autumn19,8.66
117,AG39001,AGRICULTURAL MACHINERY LAB.,3,37,6,2,1,0,0,6.12,75.51,12.24,4.08,2.04,0,0,Autumn20,8.8
118,AG39002,TRACTOR & POWER SYSTEMS LABORATORY,6,16,30,3,1,0,0,10.71,28.57,53.57,5.36,1.79,0,0,Spring20,8.41
119,AG39002,TRACTOR & POWER SYSTEMS LABORATORY,0,27,19,3,4,0,0,0,50.94,35.85,5.66,7.55,0,0,Spring21,8.3
120,AG39003,LAND & WATER RESOURCES ENGINEERING LAB.,16,15,12,7,5,0,1,28.57,26.79,21.43,12.5,8.93,0,1.79,Autumn19,8.46
121,AG39003,LAND & WATER RESOURCES ENGINEERING LAB.,12,27,8,3,0,0,2,23.08,51.92,15.38,5.77,0,0,3.85,Autumn20,8.77
122,AG39004,IRRIGATION & DRAINAGE ENGINEERING LABORATORY,9,27,10,9,0,1,0,16.07,48.21,17.86,16.07,0,1.79,0,Spring20,8.59
123,AG39004,IRRIGATION & DRAINAGE ENGINEERING LABORATORY,7,33,10,2,0,1,1,12.96,61.11,18.52,3.7,0,1.85,1.85,Spring21,8.7
124,AG39005,FOOD ENGINEERING LAB.,5,23,18,6,0,1,0,9.43,43.4,33.96,11.32,0,1.89,0,Autumn19,8.45
125,AG39005,FOOD ENGINEERING LAB.,8,32,6,2,1,1,0,16,64,12,4,2,2,0,Autumn20,8.82
126,AG39006,FOOD SCIENCE & TECHNOLOGY LABORATORY,0,12,39,2,1,2,0,0,21.43,69.64,3.57,1.79,3.57,0,Spring20,8.04
127,AG39006,FOOD SCIENCE & TECHNOLOGY LABORATORY,0,37,12,2,1,0,1,0,69.81,22.64,3.77,1.89,0,1.89,Spring21,8.55
128,AG40009,CAD AND SIMULATION OF AGRICULTURAL MACHINERY,6,17,6,5,0,0,0,17.65,50,17.65,14.71,0,0,0,Autumn20,8.71
129,AG40011,TUBEWELLS AND PUMPS,2,15,25,6,3,0,0,3.92,29.41,49.02,11.76,5.88,0,0,Autumn20,8.14
130,AG40018,INDUSTRIAL PROCESSING OF FOODS AND BEVERAGES,3,18,5,1,0,0,0,11.11,66.67,18.52,3.7,0,0,0,Spring21,8.85
131,AG40018,INDUSTRIAL PROCESSING OF FOODS AND BEVERAGES,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
132,AG40032,FOOD RHEOLOGY,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
133,AG47007,PROJECT I,1,24,8,4,1,0,0,2.63,63.16,21.05,10.53,2.63,0,0,Autumn20,8.53
134,AG48002,COMPREHENSIVE VIVA VOCE,0,3,10,6,2,0,0,0,14.29,47.62,28.57,9.52,0,0,Spring21,7.67
135,AG48003,SUMMER TRAINING,0,6,8,0,0,0,0,0,42.86,57.14,0,0,0,0,Autumn20,8.43
136,AG60002,,0,0,2,3,0,0,0,0,0,40,60,0,0,0,Spring21,7.4
137,AG60003,,0,1,0,0,0,0,1,0,50,0,0,0,0,50,Autumn20,6.5
138,AG60008,,2,19,4,1,0,0,0,7.69,73.08,15.38,3.85,0,0,0,Spring21,8.85
139,AG60008,,0,1,1,1,0,0,0,0,33.33,33.33,33.33,0,0,0,Spring20,8
