course,EX,A,B,C,D,P,F,session,EX%,A%,B%,C%,D%,P%,F%,average
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS ,50,76,153,95,47,27,1,Autumn 18,11.1358574610245,16.926503340757236,34.075723830734965,21.158129175946545,10.46770601336303,6.013363028953229,0.22271714922048996,7.78173719376392
CS10001-PROGRAMMING AND DATA STRUCTURES ,54,57,70,71,108,88,1,Autumn 18,12.026726057906458,12.694877505567929,15.590200445434299,15.812917594654788,24.053452115812917,19.599109131403118,0.22271714922048996,7.131403118040089
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY ,71,83,119,96,56,22,1,Autumn 18,15.848214285714285,18.526785714285715,26.5625,21.428571428571427,12.5,4.910714285714286,0.2232142857142857,7.881696428571429
EA10001-EXTRA ACADEMIC ACTIVITY-I ,73,287,218,117,132,85,3,Autumn 18,7.978142076502732,31.366120218579237,23.825136612021858,12.786885245901638,14.426229508196723,9.289617486338798,0.32786885245901637,7.7650273224043715
EA10005-INDUCTION PROGRAM ,0,0,0,0,0,0,0,Autumn 18,,,,,,,,
MA10001-MATHEMATICS-I ,163,251,163,125,88,122,4,Autumn 18,17.79475982532751,27.40174672489083,17.79475982532751,13.646288209606988,9.606986899563319,13.318777292576419,0.43668122270742354,7.884279475982533
ME10001-MECHANICS ,53,87,108,62,50,86,3,Autumn 18,11.804008908685969,19.37639198218263,24.053452115812917,13.808463251670378,11.1358574610245,19.15367483296214,0.6681514476614699,7.467706013363029
PH11001-PHYSICS ,30,81,100,98,64,75,1,Autumn 18,6.6815144766147,18.040089086859687,22.271714922049,21.826280623608017,14.253897550111358,16.70378619153675,0.22271714922048996,7.3006681514476615
PH19001-PHYSICS LAB. ,161,154,93,24,10,5,2,Autumn 18,35.85746102449889,34.29844097995546,20.71269487750557,5.3452115812917596,2.2271714922048997,1.1135857461024499,0.4454342984409799,8.910913140311804
CY11001-CHEMISTRY ,29,89,102,88,68,72,0,Spring 19,6.4732142857142865,19.866071428571427,22.767857142857142,19.642857142857142,15.178571428571427,16.071428571428573,0.0,7.345982142857143
CY19001-CHEMISTRY LAB. ,155,241,40,6,3,3,0,Spring 19,34.598214285714285,53.79464285714286,8.928571428571429,1.3392857142857142,0.6696428571428571,0.6696428571428571,0.0,9.183035714285714
EA10002-EXTRA ACADEMIC ACTIVITY-II ,80,254,246,149,114,69,0,Spring 19,8.771929824561402,27.850877192982455,26.973684210526315,16.337719298245617,12.5,7.565789473684211,0.0,7.81359649122807
EE11001-ELECTRICAL TECHNOLOGY ,20,45,68,107,135,71,1,Spring 19,4.47427293064877,10.06711409395973,15.212527964205815,23.937360178970916,30.201342281879196,15.883668903803134,0.22371364653243847,6.861297539149888
EE19001-ELECTRICAL TECHNOLOGY LAB. ,30,127,182,69,23,16,1,Spring 19,6.696428571428571,28.348214285714285,40.625,15.401785714285715,5.133928571428571,3.571428571428571,0.2232142857142857,8.044642857142858
